Number,English,Thlinkit-Skutkwan,Tshimsian-Kitunto,Tshimsian-Kithatla,Haida-Kaigani,Haida-Masset,Haida-Skidegate,Haida-Kumshewa,Kwakiool-Haishilla,Kwakiool-Hailtzuk,Kwakiool-Kwiha,Kwakiool-Likwiltoh,Kawitshin-Kowmook-Tlathool,Kawitshin-Snanaimooh,Kawitshin-Songis,Kawitshin-Kwantlin,Aht-Kaiookwaht,Niskwalli-Sinahomish,Tsheheilis-Staktamish,Tshinook-Tshinook,Tshinook-Tilhilooit-UpperTshinook,Bilhoola-Noothlakimish,Tinne-Tshilkotin,Tinne-Nakoontloon,Tinne-Takulli-Teheili,Selish-Lillooet,Selish-Kullespelm,Shahaptani-Whulwhaipum,Kootenuha-UpperKootenuha
11,My wife,uh-shit,nux-soo,nux-soo,te-tshā,,,ti-tzā-ga,kun-num-ma-kunts,kus-kunnum,kus-kunnum,tlā-kun-num,tlats-asht,nis-tōlis,nis-tallis,insua-en-stānis,si-asē-tloo-tshiman,hig-was,ket-sin-tshewilh,n-koo-wi,huh-ki-kai,ehil-shin-āsh,tsai-at,tse-kun-si-lin,yun-tsuk-oo,nish-im-ām-a,in’-noh-un,nimmi-ashum,ka-tl-nam-oo
12,My son (said by father),uh-hi-ghutti,,,di-kit,keet,,,,kus-whun-ook,kus-whun-ook,hun-whun-ookwi,"tals, tits-i-mān-ă",,,insua-samil-mun,,,te-tin-mān,koo-toon,its-hun,teim-nitsai,,nas-kai,,skoo’-ka-zei,is’-whuh-sē-whult,nimi-mi-un-ash,kun-hut-lē
13,My son (said by mother),uh-hi-ghutti,,,di-kit,kin,,,,,,hun-whun-ookwi,,,,insua-samil-mun,,,,,,teim-nitsai,,,,skoo’-ka-zei,,,
14,My daughter (said by father),shā-wut-uh-ghutti,,,ti-koot-jung-a,keet,,,,,,sooh-tlimma,salks-māna,slani-nimună,,insua-nis-kum-ealh,,,,,,tshēm-nath-eh,sis-kai,,,smoo’-tleth-kin-koo-za,,,ka-soo-win
15,My daughter (said by mother),shā-wut-uh-ghutti,,,ti-koot-jung-a,keet,,,,,,sooh-tlimma,salks-māna,,,insua-nis-kum-ealh,,,,,,tshēm-nath-eh,,,,smoo’-tleth-kin-koo-za,,,
16,My elder brother,uh-hoon-ooh,shi-li-kit-tim-win-’go,shi-lī-git,ti-kwai,,,ti-ka-gha,no-la-kum,no-la-kummi,no-la-kummi,nōla,tluhai,,shē-itl,nish-ai-ulh,tai-ē,skā,n-whāl,n-yai,eh-ko-kwuno-wi-tshil,kwal-lum,,sit-tain-a-tail,,ni-’ko’k-a-hik,in-a-kait’-tsh,nimi-pī-ap,kut-tat
17,My younger brother,uh-kīk,tsoo-wan-kit-tim-win-’go,tsoo-wan-īgit,tō-un,,,ti-tō-un-gha,tse-ai-kuns,tsaia,tsaia,tzaia,skēlh,,sai-thin,ns-kā-āk,kulh-lātik,tsō-kwa,te-tin-lisk,kwnishtz,nis-kis-ka-ītsuhi,sho-ahē,,sho-na,,sĭs’-kwuz,is-sin-tsē’,nimi-ishup,
18,My elder sister,shoo-ko-uh-tlāk,shi-li-kit-tim-thlim-ah-tīo,shi-lī-git,di-jasha,,,ti-jas-ka,,tsai’-a-kummi,tsai’-a-kummi,nōla,tluhai,,na-ālish,nish-ai-ulh-slannē,tloo-tshim-oap,na-ālis,in-pisin,,ah-ko-kwuna-ki-goots-ki,kwal-lum-tsh,,,,nī-kah-kuh,is-kws-sum-ēm’,nimi-na-na-nas,
19,My younger sister,kīk-a-uh-tlāk,tsoo’-wan-kit-thlim-ah-tīo,tsoo-wan-īgit,ti-toon,,,,,,,tzaia,tats-nō,,sai-thin,ns-kā-āk-slannē,tloo-tshim-oap,tsō-kwa,ne-nesk,,akus-tuha-ki-goots-ki,oot-tē-titk,,,,sĭs’-kwuz-smoo-tlats,inl-tst-tso-ōps’,nimi-īn-stats,
20,An Indian,thlin-kit,tshim-si-an,,hā-dis,,,,wīsshum,,weisshum,nummook-pahoos,datsio,,,nan-tsa-whul-amooh,,atsil-talum,,tla-nimshk,hai-kutama,'klem-ish-ta,tin-nē,,,ō-whil-mooh,,tein,
21,People,uh-shuh,kit,in-tsă-bum,towī,,,tl-ta-whī,geok-kelout-a-kuns,pi-pu-kwā-num-ah,pi-pu-kwā-num-ah,giook-wilowt,nood-kwai-doh,,n-gung-na-whēl-woh,whul-amooh,oasha-a-imits,atsil-tal-oomiwsh,notl-tā-milh,thlih-owi,ada-te-hedli-hum,wat-sai-wa-klem-sta-ah,tin-ne-o-kont-lin,tin-ni-e-etlan,,ō-whil-mi-whoo,,hilak-tein,
22,Head,shus-a-wŏ,tumk-ows,tunk-ows,te-kuts,kātz,kād-ze,kād-ze,haih-tē,heums,haih-tē,hioomis,utuh-osh,hai-us,shai-us,shus,toh-wa-tsit,skh-ai-oos,mā-tin,mā-tin,il-kak-stak,ted-uh,tin-ne-a-tza,nun-tse,mut-tsai,skap’-kun,spl-’kein,"thlim-tuh, palka",a-klam’-a-na
23,Hair,uh-e-yuh,keulsh,kāoos,kuts,katl-kāi-tl,ka-skai-tl,kow,tzi-a,tzi-a,tzi-a,saia,,shai-kun,tsi-atun,ma-kun,,skad-zo,skis,yak-so,il-net-hat,mihl-kwā,,nun-tse-ra,,mā-kĭn,kaw-makum,too-ta-nik,a-ku-ke-klan’-e-na
24,Face,uh-kak,tsalĕ-gedit,tzel,hung-e,hang-e,hoang-a,hanga,ko-kummi,ko-kummi,ko-kummi,kow-komai,tubo-osh,sā-hus,tza-siz,sa-assus,itl-hlool,tzā-at-sus,smoos,mōas,waia,moo-shā,tin-ne-nin,nan-nin,ni-nin,tl-kwt-tloosh’,skul-loos,spiss,a-kun-kun-e-in-na
25,Forehead,ka-kook,wŏa-puh,woa-puh,kwul,kwul,kwul,kwul,tuk-ai-a,ko-kuio,ko-kuio,ou-kooiwa,sa-ykso,sko-muls,skwang-is,skoo-miss,up-puh-pa,tsil-ēltz,,spō-toos,aiasko,ilooma,nītz-i-kulth,nit-se-koolh,min-in-tak,nal-ki-noos,tsis-hil-tha’-mish-in,shoowă,a-kin-kutl-e-nam
26,Ear,ka-māk,tsim-ooh,moo,kew,gēu,gēu,keu,pis-paio,pis-paio,pis-paio,pish-paio,ko-a-āda,kwn-un,kwol-lun,kwēil,puh-pi,kul-āde,kwullā,kwl-ān,i-yun-to-hema,tahks-ta,nīt-ză,nen-tsa,nīt-zā,klin’-ne,ta-enne,mishioo,a-ko-ko-ut’-tĕ-na
27,Eye,hleu,wul-eil,wileil,hong-e,hung-ē,hung-ē,hung-ē,kuk-s’,kuk-s’,kuk-s’,kaioo-kash,ka-a-wōm,kul-um,ni-kul-lun,kul-um,kus-si,ni-kul-oon,te-tin-moos,tai,sīa-nos,kul-lo-’kish,tin-īna,nen-na,nin-ā,noo-ka-tloosh’-tin,n-huk-a-klus’-tan’,utshas,ā-ka-klih’-e-na
28,Nose,ka-’ke,tsuh,tsuh,kwin,kwun,kwun,kwun,hoo-muh,tshin-sas,hoo-mak,ghin-tash,muk-shin,muk-shin,yuk-sin,muk-sin,nit-suh,buk-sin,,muksn,shi-ugits,mā-uh-shā,tin-ne-nitz-eh,nen-zi,ni-nin-tsis,spusks,spsis-sax,nosno,a-kun-am
29,Mouth,ka-thloot,āh,āh,had-lē,hat-lē,hēt-lē,hut-lē,sums,sims,sims,simsh,tho-thed,sa-hun,nuk-un-ooh,sā-sin,ishl-uk-itsl,tuk’-ud-oh,kun,hun-is,yauk-shut,shoo-tsha,tin-ne-azi,naz-ai,ni-zik,hoo’-hin,spil’-eim-tsin,um,a-katl-man’
30,Tongue,"ka-uh, ka-ooh",tsoo-wla,too-wulla,tungl,tāng-il,tang-il,ta-ngl,kil-lum,kil-lum,kil-lum,killum,stiwh-sash,tuh-sil,tiwh-sil,toh-silh,tsoop,thla-lap,,thlih-whl,ya-milook-ta-kwil-ima,tēsh-tsha,natzol,nun-tso-la,tsoo-lā,tah’-la,tiwh’-ts-tsth,milīs,watl-hloo-nak
31,Teeth,ka-ka-tat-sai,wān,wān,tshin,tsing,tsing-a,tsing-a,kīk,kīk,kīk,kīk,gi-geis,yin-nis,hun-is,yin-nis,tshi-tshish,dzud’-is,obsin,yins,thle-katsh,it-sha,tin-ā-ōh,nun-tso-owa,ni-goo,ĭ-ītshi-min,hul-lawh,utīt,a-koo-nuten’-ām
32,Beard,,īmuh,īmuh,s’ki-wi,kāi-ow-ā,skow-rē,skiw-igh,ha-puh-ste,ha-puh-ste,ha-puh-ste,hapuh-sta,ko-po-thled,kwin-eisin,koi’-ni-sin,kwun-ne-āsun,ha-puk-shim,nuk’-wa-di-oot-sin,,,dia-muk-sho,sko-puh,ni-ta-rā,nin-ta-ra,ni-tā-gā,tshi-woo’-pth,sō-ptzīn,shoo-wow,ka-kloo-khluh’-ā
33,Neck,ka-hle-tik’,tum-lā-ni,tum-la-ni,hil,hīl,hīl,tshīl,kow-konĕ,ko-konĕ,ko-konĕ,kow-koon,sai-a-dha,tup-sim,tait-shin,tup-sin,tsi-koomitz,tsuk’-am-sim,,tshisp,yato,ni-tshap-sim,tin-ā-okus,nin-tshur-rā,ni-zil-tai-in,ka’-kun-ne,hus-pīn,tan-wut,a-koo-kuk
34,Arm,ka-tshin,un-on’,un-on,ih-ai’,,hie,heai,hai-ishō,hai-as-so,hai-as-so,aiasho,tshai-ash,te-low,tal-loo,tā-loo,ko-kwinix,tsi-la-loo-min,in-hal,pot-it,ya-ho,shoo-sha,tin-ne-a-kon,nul-la,ni-kun,soowa’-hun,is-tho-wah-an,pap,a-klut’-e-nām
35,Hand,uh-tleik,lah-snain,un-on,shtlai,stlai,slai,slai,hai-as-so,hai-as-so,hai-as-so,kwak-was-tanna,sko-a-okoidja,tshā-lash,sallis,tsā-lilh,tshi-this-kin-akoom,n-tshallis,in-kia-lih,shō-mits,ījek-shin,skoolh-lil-ah-shuk,tin-ne-luh,,ni-lāh,sh-koo-oks’,n-halish,"apapup, thluh-thla",ā-ki-nam
36,Fingers,uh-tshi-koolh,kut-soo-wā-nooh-um-un-on’,kut-soo-ald,slāk-unge,stlē-kung-ē,slai,sl-kungē,,,kwa-kwa-dsanai,,,snu-his,ha-hal-sis,sluh-tsis,,tda-ha-lathi,tshewk,shō-mits,,shi-ipi-aiak,,,,nō-la-ka,is’-tēh-ist,la-kīt,a-kits-kai’-e-nam
37,Thumb,"uh-koosh, uh-oosh",mau’-shō,moas,shluk-waia,stlē-kwai,stl-kwō-da,sli-koo-sis,kow-na,kho-na,kho-na,howma,tla-hei-koija,,sin-klal-oosis,sint-la-lit-sis,īha-kommitz,tsi-walluks-atshi,pu-whaska,,a-ke-oohtak-shin,kō-dā,nīl-a-tsho,nul-as-kut,,skil-a-kĕh,is-to’-mihst,apap-untshi,too-tsak-e-nam
38,Nails,ka-hāku,kuth-luh-sho,thluhs,shluk-un,stla-kwun,stl-kwun,sli-goon,,,,tsim-tsiem,kwā-lootsis,katla-je-koija,tlit-hal’-sis,ko-kwl-sis,tshutl-tsha,nukoh’-sat-shi,,towuh,duha-ho-lo-gwodi,skath-sie-what,nīl-a-kun,nil-as-sut,kīl-a-kuai,koh-kin’-a-ke,koh’-kin’-tshist,āsă,a-kook-pi-nām
39,Body,tshal-tuk-a-hoot,ni-ked-do,tk-kum-ō,il-thlō,hloo,ka-tlē,thloo,ow-kwunna,o-kwunna,o-kwunna,owk-weina,smistai-ooh,gei-oohsh,stas-kuttl,win-nit-zā,oos-it,un-tso’-kom,kwl-et-ki,sā-sit,saw-kwiak,stoo-īd,tin-a-nus,nun-us,ni-zi,mus-zath’,is-kailh’,wow-nashus,a-kitl-hl-hluk’-e-nooha
40,Chest,ka-woo’,kuai-ĭgoot,kaik,kun,,,kuts’-koo-se,tu-ku-poa,tu-ku-poa,tu-ku-poa,ow-poal,stzei-lush,yei-dash,tsung’-utl,se-ilis,klupts-houm,tsel’-e-de-gwus,skwillum,,a-kutsh,ska-walloos,,nun-tsi,,tat’-whath,shts-hits-mauhts,hup,
41,Belly,ka-aia,pun,pan,keitsh,kītz,ki-χi,kād’-za,tik-e,tik-e,tik-e,tăkī,kwulla,skwa-wa,un-tlās,kwl-la,ta-tshuh,un-tlāth,un-tlāl,ya-kwa-tin,yow-an,noo-kwil-ta,tin-ne-put,nun-but,pa-put,o-lin,ol-īn’,nawut,a-koo-woom
42,Female breasts,ka-tla,mush,mash,tlnō-ai,tlin-loo-ē,klin-ē-wē,tln’-oa,tsa-mĭ,tsa-um,tsa-um,thā-um,skumma,tzum-tid,skum’-ma,skum-ma,in-nima,skō-bo,koomilh,kām-tin,aka-geiloki-koto-mak,toomsh,tin-ne-adsoh,nun-tsoa,put-zoo,ska-ām,skā-em’,nukŏăt,a-koo’t-kak-e-na
43,Leg,ka-’koos,āsī,āsī,til,kwul-o,kial,ki-ul,gooh-gui,ko-kwio,ko-kwio,giook-waio,shunna,jis-hin,slal-uth,thluk-na-atsh,ka-ipit,tsil-a-lup,un-tsool,,ni-dia-kew,īh-ā,tin-ad-sun,na-kai-tshun,gwa-shun,skoo-āht,tsim-aux-shin,wuhā,a-ksuk-e-nām
44,Foot,ka-koo-stuh-li,nuh’-ne-asho,āsī,sta,kl-stai,stai,stai,,,,pul-kah-site,snu-whil-tit-shim,spuk-alt-shin,shunna,shun-nă,klish-klin,jish’-in,pa-paish-in,,i-thliaps,īh-ā,tin-ne-a-kuh,nun-kai,piu-kī,spa-āhin,stsō-wus-shīn,wati-kowas,a-klik-e-nām
45,Toes,ka-koos-hawk,kut-soo-wā-nuh-shim-shī,kut-soo-wan-uh-shim-shi,stak-ungī,stuk-ung-e,sta-kung-e,stā-kung-e,,,,kwa-kwah-site,snuh-shin,st-wha-wa-wishid,is-tha-hāl-sin,sluh-kin,tshute-tsha,nis-tha-hal’-uk-sed,,,a-kil-akum-mi-hi-diops,skooh-lil-ah-thlal,,nun-kai-las-kwtl,,ho’-li-hin,is-te-uh’-shin,ow-hai-huh-thla,a-kits-kai’-e-nām
46,Bone,ka-tsak,sai’-ep,sai’-ip,hit-lai,,skood-ze,skoo-ji,hāh,hāh,hāh,hak,stzaum,show-wishin,ist-sām,stzaum,hum-mōt,nī-shaō,hiaoo,te-ikl,nis-to-ko-tshoma,tshap,a-kut,nun-kwut,tsun,ko’-ko’-itl,ist-soam’,pīps,a-ko-klā
47,Heart,ka-tehk,kō-ad,kōht,kook,kook,kou-ga,koo-dine,ow-ah-te,o-ah-te,o-ah-te,pook-wa-num-kīlh,tzē-la,tlik-weid-ash,stsal’-luh,tsul-la,ih-um-uh,stsal’-le,ins-kwillum,et-shumh,n-kwamni,stshit-shoolk,,sit-zi,,shwa-kook,is-poos’,timna,ā-kit-hloo-in
48,Blood,shuh,īhl-thlē,ihl-thle,hui,āi,kai,kai,pil-ih-tlum,ul-koom,ul-kwa,alkwa,sa-sai-ung,kweilh,saih-thin,sā-se-yin,hais-im-is,stō-le-gwan,skuelh,skwē-ilh,n-kowilk,shīh,tin-ne-i-til,tin-ni-ă-tul,skai,pt-īl-la,is-sin-a-hool’,tooni-wan,wuh’-num-oo
49,"Town, village",tshul-tuk-a-tīt,hoo-wālip,wālp,no-watl-wan,,,na-kwan,kai-num-ioh-looh,goo-gwilla,goo-gwilla,awin-ak-wush,ul-ālum,klub-klub-stād,al-lun,ntsow-mooh-whul-amooh,ma-ma-ha-te,al’-a-lal,hahwi-e,hāsh,toolh-lemma,ta-ap-shoolh,koh,kong,koh-a-lai,tshi’-tshi-tooh,whe’-elt-whooh,hilak-nīd,a-ke-kloo’-e-ne
50,Chief,un-kaw,shim-oikit,sim-oikit,i-klak-ta,,,i-tla-git,"hai-mash, emash",ke-kummi,ei-mash,ki-kumma,sīam,sei-gioos,sī-am,sī-am,hă-wilh,si’-am,ā-lis,ālis,n-stamah,stal-tomih,nītz-il-in,nitz-il-in,mow-dish,koo’-ki-pi,il-a-mīh’-hoom,mi-ow-ah,
51,Warrior,klit-īni-ka,āluh,kut-kit-um-yooht,sha-shi-wun,,,tshad-zi,tlih-āla,,tle’-ā-koo-koo,thlā-wish,shto-mash,kul’k,ska-shwoi-a-kan,stā-mish,wi-ukī,kwē-kuk,shwilh,toa-whĭ-ai,n-tow-heak,alh-āpuk,,hus-kai,,in-kĕ-shēl’-ni-kuk,il-tshul-īh-ut,shatāwī,na-soo-ookē
52,Friend,uh-a-kha-wo,nis-shīp-un,ni-si-āpun-usk,staglh,,,lth-ta’-kwi,mai-atla,mai-atla,mai-atla,numook,si-aia,tits-ja-ja,nis-jā-ha,tsi-aiāh,oosh-a-im-is,tsi’-aiā,nisk,n-săl-salin,its-hal-pit,doo-bou-ta,,sil-tuss,,snoo’-kwa,is-lāht’,hai,
53,House,hīt,wāl-lup,wālp,tish-wan-shin,,na,nāh,giooh,gook,gook,giook,lalum,tlub,al-lun,la-lum,huh-a-te,al-lal,oa-tsis-hal,has,itook-thle,soolh,,en-tla-koln,,tshi-tooh,sī-to-hooh,"unīd, nishā",a-koo-kla-a-ne
54,Skin lodge,,,,,,,,,,,,,,kwul-a-wal-lun,,,kwul-lu-wow’-tooh,woiuh-alh,,stow-hei-lok,,,,,,spi-yetl-hooh,tsoo-whillī,
55,Kettle,kootl,kai-klem-to-utsk,kai-thlum-to-utsk,tshis-lungŏ,,,tshis-whal-un’,keah-tla-lu-tatse,nuk-um,nuk-um,nuk-atshi,,,skwultz,tsuk-oost-in,nīs-īk,suh-kwalz,thlak-stuk-un,ō-kwus,ne-moo-moos-kilma,dook-stlak,mon-sai,no-sai,us-sa,in-tha-koosh’-tĭn,tl-tshep’,"kupoos, tooksai",its-kē-a-ma
56,Bow,sooks,ha-uk-tuk,ha-kwu-tak,thl-ait,,tl-kēt,tl-kīt,thlik-wīss,thlik-wīss,thlik-wīss,thlu-kwish,twh-ātsh,thluk,shom’-ma-tin,tuh-wats,moos-tut,kut-thetz,sīlh,kalt-stin,athloh-ait,poots-tin,tad-tsan-kuh,alh-tin,tli-ti,tuh-o-āth,st-kwīntsh’,too-īn-pas,tow-oo
57,Arrow,tshoo-net,how-āl,ha-wal,tsh-tul-lung,,kung-al,tsit-ung,hun-tlum,,,hun-tlum,skwul-lasp,hai,yit-thet,slawh,tsi-i-hut,tē-tes-in,,kalt-stin,a-kum-atsh,titsh-nēm-ta,kuh,kā,ka-za,koo’-hi-mal-it-ish,tap-a-men’,kai-asso,a-’k
58,"Axe, hatchet",tsin-a-hōi,ki-gio-atik,ki-gioatik,tshool-tshao’,kiutl-tzow,kitl-χow,kitl-zow,klo-kwi-o,ko-kwin-a-kwilla,ko-kwin-a-kwilla,soopaio,sko-kōm,so-paio,mok’-koo,'ku-kum-in,is-his-utshik,buk’-koo,tla-mai-kihun,kla-ai-tshiptin,a-kus-tin,nītst,tzin-tli,tzenlh,tsai-tsl,kla-mĭn,ĕs-si-ya’-ah,"kaistun, wahtl-ko-was",uk-koo-tal
59,Knife,thlitta,il-thla-pishk,il-thla-pīshk,yāts,yā-tzā,skow,skōw,hai-num,hai-num,hook-taio,kia-waio,tatsh-tin,tshi-tai-tin,shī-pin,thlath-tun,hooh-tai,snōak,snoak,whai-ilh,a-kewaki,tuh-kit-tlā,penl-sō,ut-teis,tish,whik’-ătin,nīn-tsha-min,"hapil-thlimi, suh-tl-kowas",a-ke-tshum-a
60,Canoe,yoawh,huh-shō,hush-hō,tloo,,kloo,kloo,kil-wha,wha-kwinna,kil-wha,whak-winna,sniw-hilh,nu-whilh,a-ta-hush’,sno-whil,tsup-itsh,kai-ail-bid,wīlh,welhl,i-kanim,thlal-ash,tsai,tse,tsai,'klt-a-utz,klī-yih-ih,wasas,ya-ka-tsō-mtl
61,Moccasins,kwunn,tsoh-tsit-tsha,tsa-oshs,stail-kwanik,,stal-kun-gi,stas-ka-ge,kai-nah,te-paio,kai-nah,kwi-kwuh-shuh-sit-sai,sluki-hin,tla-dak-luk-ishin,,sluk-ghin,,yal-shin,kiahin,,skail-pa,kē-digh,kih,kēai,kih-kot,klil’-tse,kai-a-tshīn’,tl-kam,hlā-ene
62,Pipe,tsuk-ta-keit,huh-pi-yan,hah-pai-an,halh-e-dau,,skads-oot-la,nit-lun-gai-do,kah-kup-adsi,wuh-ătzi,wuh-ătzi,wuh-ātzi,sput-māla,wuh-atzi,pāwk,sputē-malē,kwsh-sutz,pāwk,kos-ko-hun,hos-koh,kalā-mat,du-tshouk-up-utā,tsi-ka-tsuh,nun-te-katzi,tsi-li-gatsi,tsa-kō-hes-tin,sin-e-min-ooh-tin,tshal-āmat,koos
63,Tobacco,kunsh,im-do-kum-she-wa,damp-shi-wa,kwil,kwul,,gwul,kā-pilla,tlow-kwa,tlow-kwa,tlō-kwa,spātlum,ow-awh,smanish,spat-lum,tlu’-oak,si-manish’,kwl-ē-mihin,kai-noolh,kai-noolt,tla-uk,tsul-loo,tsul-e-o,ta-kā,smā-nih,sin-en-ooh,touwah,yā-ket
64,Sky,"kootz, ti-ki",luh-ha,luh-ha,ushā,,yēn,kwai,ei-ki-ah,lou-wa,lou-wa,nāla-ykn,skwai-ul,thloak,skwa-tshung,swail,tshīs-ki-yu,sla-hel,ske-tatshi,skātl,i-goosha,shē-āwa-shu-dooh,yat-ah,ya-taka-hon-zo,yah,ho-kup,hih-a-mas’-kat,to-whun,a-kitl-mī-īt
65,Sun,"kuk-an, kha-kan",kim-a-kum-dzioos,kim-muk,jewī,,tzoo-rē,dzi-kwai’,tlik-eou-alleuh,klit-shi-ooalla,klit-shi-ooalla,tlīsh-illa,si-ok-um,tad-jiss,sko-kol’,siā-kum,klo-pun,slo-kwālh’,,kwul-is,a-kussa,shin-ih,tsuh,ytl-kun,tsah,snuk’-um,spuk-un-ne’,an,no-kun-mī-tun
66,Moon,tīs,kim-ākum-ātuk,kim-ākum-ātuk’,'kung,,kung,koom,ki-tsua,no-shi,no-shi,muk-willa,til-kāltz,tad-jiss,tla-kal’-tsh,il-kants,ho-pulh,slo-kwāl’-um,,til-ēim,uh-tlimin,tlookĭ,,al-tzi,,klā-min-tin,,ulhaih,na-tun-e-ke
67,Star,kuth-an-a-ha,pi-ālst,pi-ālst,kail-ta,,kai-tza,kai-tza,ki-hi-kat-sa-wa,tŏ-tōa,tŏ-tōa,to-to,kwas-sun,koo-shin,kwas’-sin,kwa-sin,ta-tōs,tsho-sen,,kaihā-na,iti-kaih-yinaba,mashī-mitz-tl,sun,sun,sum,koo’-koosh-int,kukoo’-sum,haslo,a-ktl-nōs
68,Day,yuk-i-e,tsī-ooh-tit,tsioos,shang-lan,ut-ka-gun,,sung-lod-lun,nuh-kwa,kwăk-illā,kwăk-illā,nāla,skwai-il,tzoak,kwat-hē-in,skai-lit,apa-wintl-nas,sla-hel,ōtis-keh,spōa-tuk,a-wa-ka-thluh,alē-sho-no-hatsh,,klan-un-tzi-koole,,skĭ’-it,satl-hā-lit,pat-shwai,
69,Night,ta-at,hoo-apun,ho-āpl,shing-ia,al-gă,,sin-ki,ka-noolh,kā-nootl,kā-nootl,kā-nootl,snēt,dāwk,snĕt,sne-it,ut-hai,tlā-hiluh,pit-tooh,oalī-is,hubehi,in-tlit,hut-līh,alt-ī,tsis,shī-th,spo-koo-etz’,pat-shoomish,tshl-mī-tun
