Number,English,Thlinkit-Skutkwan,Tshimsian-Kitunto,Tshimsian-Kithatla,Haida-Kaigani,Haida-Masset,Haida-Skidegate,Haida-Kumshewa,Kwakiool-Haishilla,Kwakiool-Hailtzuk,Kwakiool-Kwiha,Kwakiool-Likwiltoh,Kawitshin-Kowmook-Tlathool,Kawitshin-Snanaimooh,Kawitshin-Songis,Kawitshin-Kwantlin,Aht-Kaiookwaht,Niskwalli-Sinahomish,Tsheheilis-Staktamish,Tshinook-Tshinook,Tshinook-Tilhilooit-UpperTshinook,Bilhoola-Noothlakimish,Tinne-Tshilkotin,Tinne-Nakoontloon,Tinne-Takulli-Teheili,Selish-Lillooet,Selish-Kullespelm,Shahaptani-Whulwhaipum,Kootenuha-UpperKootenuha
1,Man,'kha,wai-oot,youh,i-thlung-a,,i-hling-a,ē-hlin,,pu-kwā-num,pu-kwā’-num,pook-wā-num,enika,swaika,soi-kan,swē-ka,kō-wus,stōbsh,stil-tāmsh,kah-tin,ikalla,im-ilkh,,in-tlah,,a-pa,skul-tum-ih,wīns,tit-kat-th
2,Woman,shā-wut,hun-nāh,un-nāh,jā-da,,χa-da,n-jada,kun-num,kun-num,kun-num,sĭttăk,sahlt,slanai,sla-ne,slanē,tloo-tshimun,slāni,kewlh,ske-ki-thlil,akag-eluk,shin-āsh,tā-gool-taine-tīn,tse-ke,shi-ko,"kī-ka, smoo-tlats",sim-ēm,ai-ut,pahtl-ke
3,Boy,ka-kutz-ko,til-koolh-im-yoot,'kl-wām-ilk,itl-na-huit-soo,hā-tlel-a,,ka-ha,hā-puh,ha-push,ha-push,kin-an-um,tshuoi,swhai-kāl,stla-tl-kul,swe-wil-is-sonil,ta-na-asi,tha-thus,kwailh,tl-kasts,kash-kash,imil-imil-ki,tshīl,tai-yuz,tshīl,skoo-kumī,tā-wīt’,aswan,un-stat-nun
4,Girl,,til-koolh-im-un-nah,tshus-kim-un-nah,jā-da-hut-so,χa-da-hit-zoo,,ja-da-kud-so,a-mēs-ka-num,tsa-tsa-ta-kum,kai-kun-num,sātsă-tăkum,sas-tooh,slanai-ōhl,ka-le,slin-ealh-kum-ealh,tloo-tsi-tsi,sla-slani,ke-awlh,tlān-il,walak,shin-shin-ashi,,,,smoo-ītlĭts,shish-ootum,pitī-miks,now-te-nun’
5,Infant,to-kwunē-e,tl-koolh,kl-ku-am-ilk,kit-hut-so,na-ā-tzoo-tzoo,koo-del,de-nung,a-me,kin-a-num,kin-a-num,kin-silas-sowi,mān-nă,,n-gunna,ska-kullā,tē-nā-se,be-ba-da,,tōāl-o,kash-kash,minā,tshil-ako,,skoi,tsi-hi-a-whatl,kloh-tēlt,mī-un-ash,tl-kamoo
6,My father (said by son),uh-īsh,neuio-noog-wādh,nenio-noog-wādh,tē-hung,haung,,ti-hoon-ga,ō-oop,kush-aoomp-kins,kush-aoomp-kins,hun-aoompi,nān,nimān,nim-ang,insua-nimān,noo-wēks,nim-ān,koo-mā,kuh-tin,win-umsh,mān,ap-pa,sit-ta,ish-pa,skat-soo-za,in-le-ow,na-toot-ash,ka-tit’-too
7,My father (said by daughter),uh-īsh,ā-bo,ābo,tē-hung,hah-ta,,,ō-oop,kush-aoomp-kins,kush-aoomp-kins,hun-apumpi,nān,,nim-ang,insua-nimān,,nim-ān,,,win-umsh,mān,,,,skat-soo-za,in-e-mestum,na-toot-ash,
8,My mother (said by son),uh-kla,naw-us,now-us,te-ow-a,oway,,ti-ow-gha,a-poo-kwunse,ksa-pook,ksa-pook,hun-apumpi,tān,,nit-tan,insua-en-tang,oom-ēks,skooi,sē-tshin-kooi,,wan-uks,stān,a-kul,ani-kwul,ish-kloo,skī-hoo-za,is-kōi’,"na-ilth-lash, na-īta",kam-ma
9,My mother (said by daughter),uh-kla,nai-yoo,nai-yoo,te-ow-a,oway,,,a-poo-kwunse,ksa-pook,ksa-pook,uneis,tān,,nit-tan,insua-en-tang,,skooi,,,wan-uks,stān,,a-i-kwul,,skī-hoo-za,in’-to-op,"na-ilth-lash, na-īta",
10,My husband,uh-ooh,nux-soo,nux-soo,te-tlalh,,,ti-tla-ghă,kla-wun-num-unts,kslă-koo-num,kslă-koo-num,tlā-wun-num,tats-guika,nis-tōlis,nis-tallis,un-stānis,si-asē-tshuk-oap,in-theis-toosh,shin,koo-wi,in-ski-kai,klootsh-timtz,,suk-kun,,noo-ka-tam’-tha,is’-hail-o-wih,in-mam,kan-oo-kluk-un-na
