Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^k	k	kīk, kush-aoomp-kins	Kwakiool-Kwiha, Kwakiool-Hailtzuk, Thlinkit-Skutkwan, Haida-Masset, Kootenuha-UpperKootenuha, Kwakiool-Haishilla, Kwakiool-Likwiltoh, Tsheheilis-Staktamish, Tshinook-Tshinook, Haida-Kumshewa, Haida-Kaigani, Haida-Skidegate, Aht-Kaiookwaht, Kawitshin-Kowmook-Tlathool, Bilhoola-Noothlakimish, Tshinook-Tilhilooit-UpperTshinook, Selish-Lillooet, Tshimsian-Kithatla, Selish-Kullespelm, Tshimsian-Kitunto, Kawitshin-Songis, Kawitshin-Snanaimooh, Niskwalli-Sinahomish, Kawitshin-Kwantlin	100	U+005e U+006b
oo	oː	smoo´-tleth-kin-koo-za, kush-aoomp-kins	Selish-Lillooet, Kwakiool-Likwiltoh, Tshimsian-Kitunto, Aht-Kaiookwaht, Kwakiool-Hailtzuk, Kwakiool-Kwiha, Niskwalli-Sinahomish, Thlinkit-Skutkwan, Tshinook-Tshinook, Tshimsian-Kithatla, Kwakiool-Haishilla, Haida-Kaigani, Shahaptani-Whulwhaipum, Tsheheilis-Staktamish, Kawitshin-Kowmook-Tlathool, Bilhoola-Noothlakimish, Tshinook-Tilhilooit-UpperTshinook, Selish-Kullespelm, Kootenuha-UpperKootenuha, Kawitshin-Kwantlin, Tinne-Tshilkotin, Haida-Skidegate, Haida-Masset, Haida-Kumshewa	100	U+006f U+006f
a$	a	tzi-a, ti-koot-jung-a	Selish-Lillooet, Haida-Kumshewa, Kwakiool-Likwiltoh, Tinne-Nakoontloon, Haida-Kaigani, Kootenuha-UpperKootenuha, Bilhoola-Noothlakimish, Kawitshin-Kowmook-Tlathool, Tshinook-Tilhilooit-UpperTshinook, Haida-Skidegate, Tinne-Tshilkotin, Shahaptani-Whulwhaipum, Thlinkit-Skutkwan, Niskwalli-Sinahomish, Kwakiool-Hailtzuk, Haida-Masset, Kwakiool-Kwiha, Kwakiool-Haishilla, Kawitshin-Songis, Kawitshin-Snanaimooh, Aht-Kaiookwaht, Tshimsian-Kithatla, Tshimsian-Kitunto, Tinne-Takulli-Teheili, Kawitshin-Kwantlin	100	U+0061 U+0024
e	e	insua-nis-kum-ealh, insua-en-tang	Tsheheilis-Staktamish, Kawitshin-Kwantlin, Tinne-Tshilkotin, Tinne-Nakoontloon, Bilhoola-Noothlakimish, Kootenuha-UpperKootenuha, Haida-Kaigani, Tshinook-Tilhilooit-UpperTshinook, Selish-Kullespelm, Selish-Lillooet, Tshimsian-Kitunto, Thlinkit-Skutkwan, Haida-Kumshewa, Tshimsian-Kithatla, Kawitshin-Kowmook-Tlathool, Kwakiool-Haishilla, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Niskwalli-Sinahomish, Kwakiool-Hailtzuk, Haida-Skidegate, Tshinook-Tshinook, Kwakiool-Likwiltoh, Haida-Masset, Kwakiool-Kwiha	100	U+0065
o	o	ko-konĕ, sko-a-okoidja	Kawitshin-Kowmook-Tlathool, Tshimsian-Kithatla, Kwakiool-Haishilla, Selish-Kullespelm, Tinne-Tshilkotin, Kwakiool-Hailtzuk, Tshinook-Tilhilooit-UpperTshinook, Aht-Kaiookwaht, Kwakiool-Likwiltoh, Kwakiool-Kwiha, Kawitshin-Songis, Haida-Kaigani, Tshimsian-Kitunto, Bilhoola-Noothlakimish, Kootenuha-UpperKootenuha, Kawitshin-Snanaimooh, Haida-Skidegate, Shahaptani-Whulwhaipum, Thlinkit-Skutkwan, Tinne-Nakoontloon, Tshinook-Tshinook, Haida-Kumshewa, Kawitshin-Kwantlin, Niskwalli-Sinahomish, Selish-Lillooet, Tsheheilis-Staktamish, Haida-Masset, Tinne-Takulli-Teheili	100	U+006f
h	h	ha-puh-ste, sooh-tlimma	Thlinkit-Skutkwan, Tshinook-Tilhilooit-UpperTshinook, Selish-Lillooet, Selish-Kullespelm, Haida-Kaigani, Bilhoola-Noothlakimish, Kootenuha-UpperKootenuha, Kawitshin-Snanaimooh, Tshinook-Tshinook, Aht-Kaiookwaht, Kwakiool-Likwiltoh, Kawitshin-Kowmook-Tlathool, Tshimsian-Kitunto, Haida-Kumshewa, Haida-Masset, Kwakiool-Kwiha, Kwakiool-Haishilla, Kawitshin-Songis, Kwakiool-Hailtzuk, Haida-Skidegate, Shahaptani-Whulwhaipum, Tsheheilis-Staktamish, Kawitshin-Kwantlin	100	U+0068
^t	t	tzi-a, ti-koot-jung-a	Haida-Kaigani, Kawitshin-Kowmook-Tlathool, Tinne-Tshilkotin, Haida-Kumshewa, Aht-Kaiookwaht, Bilhoola-Noothlakimish, Tshinook-Tshinook, Tshimsian-Kitunto, Kwakiool-Likwiltoh, Tshimsian-Kithatla, Tsheheilis-Staktamish, Selish-Kullespelm, Kawitshin-Songis, Shahaptani-Whulwhaipum, Tinne-Nakoontloon, Niskwalli-Sinahomish, Selish-Lillooet, Kootenuha-UpperKootenuha, Kwakiool-Haishilla, Kawitshin-Snanaimooh, Kwakiool-Hailtzuk, Haida-Skidegate, Thlinkit-Skutkwan, Haida-Masset, Kwakiool-Kwiha, Kawitshin-Kwantlin	100	U+005e U+0074
^s	s	slai, sims	Selish-Lillooet, Kawitshin-Kowmook-Tlathool, Niskwalli-Sinahomish, Kawitshin-Songis, Kawitshin-Snanaimooh, Selish-Kullespelm, Kawitshin-Kwantlin, Kwakiool-Likwiltoh, Bilhoola-Noothlakimish, Tsheheilis-Staktamish, Haida-Skidegate, Tinne-Nakoontloon, Haida-Masset, Haida-Kumshewa, Haida-Kaigani, Tshinook-Tshinook, Aht-Kaiookwaht, Tinne-Tshilkotin, Kwakiool-Hailtzuk, Shahaptani-Whulwhaipum, Tshinook-Tilhilooit-UpperTshinook, Kwakiool-Kwiha, Tinne-Takulli-Teheili, Kwakiool-Haishilla	100	U+005e U+0073
s	s	nux-soo, kuk-s´	Kawitshin-Kwantlin, Selish-Kullespelm, Kawitshin-Songis, Kwakiool-Hailtzuk, Tshinook-Tilhilooit-UpperTshinook, Kawitshin-Snanaimooh, Niskwalli-Sinahomish, Aht-Kaiookwaht, Kwakiool-Kwiha, Selish-Lillooet, Tsheheilis-Staktamish, Haida-Kaigani, Tinne-Nakoontloon, Tshimsian-Kithatla, Tshimsian-Kitunto, Kwakiool-Haishilla, Shahaptani-Whulwhaipum, Thlinkit-Skutkwan, Bilhoola-Noothlakimish, Tshinook-Tshinook, Kwakiool-Likwiltoh, Haida-Kumshewa, Kawitshin-Kowmook-Tlathool, Kootenuha-UpperKootenuha, Tinne-Tshilkotin, Haida-Skidegate	100	U+0073
m	m	kush-aoomp-kins, insua-samil-mun	Kawitshin-Kwantlin, Bilhoola-Noothlakimish, Selish-Lillooet, Shahaptani-Whulwhaipum, Tshimsian-Kitunto, Aht-Kaiookwaht, Selish-Kullespelm, Kwakiool-Likwiltoh, Tsheheilis-Staktamish, Kawitshin-Snanaimooh, Kwakiool-Hailtzuk, Niskwalli-Sinahomish, Kwakiool-Kwiha, Tshimsian-Kithatla, Kawitshin-Kowmook-Tlathool, Kootenuha-UpperKootenuha, Kwakiool-Haishilla, Kawitshin-Songis, Tshinook-Tilhilooit-UpperTshinook	100	U+006d
n$	n	kwun, mā-tin	Kawitshin-Songis, Kawitshin-Kwantlin, Selish-Kullespelm, Kawitshin-Snanaimooh, Niskwalli-Sinahomish, Tshinook-Tshinook, Selish-Lillooet, Tsheheilis-Staktamish, Kawitshin-Kowmook-Tlathool, Tinne-Tshilkotin, Haida-Kaigani, Tinne-Nakoontloon, Bilhoola-Noothlakimish, Shahaptani-Whulwhaipum, Tinne-Takulli-Teheili, Aht-Kaiookwaht, Haida-Masset, Haida-Kumshewa, Tshimsian-Kithatla, Kootenuha-UpperKootenuha, Tshimsian-Kitunto, Haida-Skidegate, Thlinkit-Skutkwan, Tshinook-Tilhilooit-UpperTshinook, Kwakiool-Likwiltoh	100	U+006e U+0024
ā	aː	mā-tin, kād-ze	Kawitshin-Kowmook-Tlathool, Thlinkit-Skutkwan, Niskwalli-Sinahomish, Kawitshin-Kwantlin, Tshinook-Tshinook, Tsheheilis-Staktamish, Haida-Masset, Bilhoola-Noothlakimish, Kwakiool-Likwiltoh, Kawitshin-Snanaimooh, Haida-Kaigani, Tshimsian-Kithatla, Kootenuha-UpperKootenuha, Tshimsian-Kitunto, Tinne-Tshilkotin, Selish-Lillooet, Haida-Kumshewa, Kwakiool-Hailtzuk, Aht-Kaiookwaht, Kwakiool-Kwiha, Selish-Kullespelm, Kawitshin-Songis, Haida-Skidegate, Tinne-Takulli-Teheili, Kwakiool-Haishilla	100	U+0101
^n	n	nux-soo, nis-tallis	Tinne-Nakoontloon, Shahaptani-Whulwhaipum, Kawitshin-Songis, Tinne-Takulli-Teheili, Selish-Lillooet, Niskwalli-Sinahomish, Tshimsian-Kithatla, Tshimsian-Kitunto, Tinne-Tshilkotin, Kawitshin-Snanaimooh, Kwakiool-Likwiltoh, Tsheheilis-Staktamish, Kawitshin-Kowmook-Tlathool, Kawitshin-Kwantlin, Tshinook-Tshinook, Aht-Kaiookwaht, Kwakiool-Hailtzuk, Bilhoola-Noothlakimish, Tshinook-Tilhilooit-UpperTshinook, Haida-Masset, Kwakiool-Kwiha, Haida-Kumshewa, Selish-Kullespelm, Kootenuha-UpperKootenuha, Kwakiool-Haishilla	100	U+005e U+006e
w	w	tsoo-wan-kit-tim-win-’go, oway	Kwakiool-Likwiltoh, Tshimsian-Kitunto, Shahaptani-Whulwhaipum, Tshimsian-Kithatla, Thlinkit-Skutkwan, Haida-Kaigani, Selish-Kullespelm, Kwakiool-Haishilla, Kawitshin-Snanaimooh, Tshinook-Tshinook, Tshinook-Tilhilooit-UpperTshinook, Tsheheilis-Staktamish, Niskwalli-Sinahomish, Aht-Kaiookwaht, Haida-Masset, Kootenuha-UpperKootenuha, Haida-Skidegate, Bilhoola-Noothlakimish, Selish-Lillooet, Haida-Kumshewa, Kawitshin-Songis, Tinne-Nakoontloon, Kawitshin-Kowmook-Tlathool, Kawitshin-Kwantlin	100	U+0077
t$	t	keet, pi-ālst	Thlinkit-Skutkwan, Tshimsian-Kithatla, Selish-Kullespelm, Shahaptani-Whulwhaipum, Tshimsian-Kitunto, Tshinook-Tilhilooit-UpperTshinook, Aht-Kaiookwaht, Tinne-Nakoontloon, Kawitshin-Kowmook-Tlathool, Kawitshin-Songis, Tinne-Tshilkotin, Haida-Kaigani, Bilhoola-Noothlakimish, Selish-Lillooet, Haida-Masset, Haida-Kumshewa, Kootenuha-UpperKootenuha, Kawitshin-Kwantlin, Tshinook-Tshinook, Kwakiool-Likwiltoh, Tinne-Takulli-Teheili, Kawitshin-Snanaimooh, Haida-Skidegate	100	U+0074 U+0024
i$	i	slai, ko-kummi	Tinne-Nakoontloon, Niskwalli-Sinahomish, Tshinook-Tilhilooit-UpperTshinook, Kwakiool-Likwiltoh, Haida-Kaigani, Thlinkit-Skutkwan, Tshinook-Tshinook, Haida-Kumshewa, Tinne-Takulli-Teheili, Haida-Skidegate, Kwakiool-Hailtzuk, Bilhoola-Noothlakimish, Aht-Kaiookwaht, Haida-Masset, Kwakiool-Kwiha, Selish-Lillooet, Kawitshin-Kowmook-Tlathool, Tinne-Tshilkotin, Tsheheilis-Staktamish, Tshimsian-Kithatla, Kwakiool-Haishilla, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Tshimsian-Kitunto	100	U+0069 U+0024
k$	k	kīk, ksa-pook	Thlinkit-Skutkwan, Tshimsian-Kithatla, Bilhoola-Noothlakimish, Tshinook-Tilhilooit-UpperTshinook, Tsheheilis-Staktamish, Tshimsian-Kitunto, Kwakiool-Kwiha, Kawitshin-Snanaimooh, Kwakiool-Hailtzuk, Kwakiool-Likwiltoh, Selish-Lillooet, Aht-Kaiookwaht, Niskwalli-Sinahomish, Kootenuha-UpperKootenuha, Haida-Kaigani, Tshinook-Tshinook, Tinne-Takulli-Teheili, Kawitshin-Kwantlin, Kawitshin-Songis, Shahaptani-Whulwhaipum, Haida-Masset, Kwakiool-Haishilla	100	U+006b U+0024
^h	h	hai-as-so, ha-puh-ste	Kwakiool-Likwiltoh, Kwakiool-Haishilla, Haida-Masset, Kwakiool-Kwiha, Kwakiool-Hailtzuk, Haida-Kaigani, Aht-Kaiookwaht, Tshimsian-Kitunto, Haida-Skidegate, Shahaptani-Whulwhaipum, Haida-Kumshewa, Tshimsian-Kithatla, Tshinook-Tshinook, Kawitshin-Songis, Kawitshin-Snanaimooh, Thlinkit-Skutkwan, Tshinook-Tilhilooit-UpperTshinook, Selish-Lillooet, Tsheheilis-Staktamish, Selish-Kullespelm, Tinne-Nakoontloon, Niskwalli-Sinahomish, Kootenuha-UpperKootenuha	100	U+005e U+0068
p	p	kush-aoomp-kins, hun-apumpi	Kwakiool-Hailtzuk, Kwakiool-Likwiltoh, Shahaptani-Whulwhaipum, Kwakiool-Kwiha, Selish-Kullespelm, Kwakiool-Haishilla, Bilhoola-Noothlakimish, Aht-Kaiookwaht, Selish-Lillooet, Tshimsian-Kithatla, Tshimsian-Kitunto, Kawitshin-Snanaimooh, Kawitshin-Kowmook-Tlathool, Tshinook-Tshinook, Tshinook-Tilhilooit-UpperTshinook, Tsheheilis-Staktamish, Tinne-Takulli-Teheili, Kawitshin-Kwantlin, Kawitshin-Songis, Tinne-Tshilkotin, Kootenuha-UpperKootenuha	100	U+0070
h$	h	tsuh, kai-nah	Tinne-Tshilkotin, Thlinkit-Skutkwan, Bilhoola-Noothlakimish, Selish-Kullespelm, Kwakiool-Haishilla, Selish-Lillooet, Tshimsian-Kitunto, Tshimsian-Kithatla, Kawitshin-Songis, Shahaptani-Whulwhaipum, Kawitshin-Kwantlin, Kwakiool-Hailtzuk, Niskwalli-Sinahomish, Aht-Kaiookwaht, Tshinook-Tilhilooit-UpperTshinook, Tsheheilis-Staktamish, Kwakiool-Kwiha, Kawitshin-Kowmook-Tlathool, Tshinook-Tshinook, Kwakiool-Likwiltoh, Tinne-Takulli-Teheili, Tinne-Nakoontloon	100	U+0068 U+0024
m$	m	kun-num, kil-lum	Kootenuha-UpperKootenuha, Kwakiool-Hailtzuk, Kwakiool-Kwiha, Kwakiool-Likwiltoh, Kawitshin-Kowmook-Tlathool, Kwakiool-Haishilla, Selish-Kullespelm, Kawitshin-Kwantlin, Niskwalli-Sinahomish, Shahaptani-Whulwhaipum, Aht-Kaiookwaht, Kawitshin-Songis, Kawitshin-Snanaimooh, Bilhoola-Noothlakimish, Tshinook-Tilhilooit-UpperTshinook, Selish-Lillooet, Tsheheilis-Staktamish, Tshinook-Tshinook, Haida-Kumshewa, Tshimsian-Kithatla, Tinne-Takulli-Teheili	100	U+006d U+0024
kw	kʷ	ko-kwin-a-kwilla, tsu-innuh-in-o-kwilla	Kwakiool-Kwiha, Kwakiool-Hailtzuk, Kwakiool-Likwiltoh, Kwakiool-Haishilla, Niskwalli-Sinahomish, Kawitshin-Kowmook-Tlathool, Tshinook-Tilhilooit-UpperTshinook, Kawitshin-Kwantlin, Kawitshin-Songis, Tinne-Nakoontloon, Bilhoola-Noothlakimish, Selish-Lillooet, Tshinook-Tshinook, Tsheheilis-Staktamish, Haida-Kumshewa, Kawitshin-Snanaimooh, Haida-Kaigani, Haida-Skidegate, Haida-Masset, Selish-Kullespelm, Thlinkit-Skutkwan, Aht-Kaiookwaht, Tshimsian-Kithatla, Kootenuha-UpperKootenuha	100	U+006b U+0077
l$	l	kwul, tshīl	Haida-Skidegate, Tshinook-Tshinook, Tinne-Nakoontloon, Haida-Kumshewa, Haida-Kaigani, Tsheheilis-Staktamish, Kawitshin-Songis, Aht-Kaiookwaht, Haida-Masset, Tshimsian-Kithatla, Tinne-Tshilkotin, Niskwalli-Sinahomish, Kawitshin-Kwantlin, Kawitshin-Snanaimooh, Tshinook-Tilhilooit-UpperTshinook, Selish-Lillooet, Kawitshin-Kowmook-Tlathool, Thlinkit-Skutkwan, Bilhoola-Noothlakimish, Kwakiool-Likwiltoh, Kootenuha-UpperKootenuha, Tshimsian-Kitunto, Tinne-Takulli-Teheili, Kwakiool-Hailtzuk, Kwakiool-Kwiha	100	U+006c U+0024
sh	ʃ	kush-aoomp-kins, klit-shi-ooalla	Bilhoola-Noothlakimish, Tshimsian-Kitunto, Tshinook-Tilhilooit-UpperTshinook, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Selish-Lillooet, Haida-Kaigani, Niskwalli-Sinahomish, Aht-Kaiookwaht, Selish-Kullespelm, Kwakiool-Hailtzuk, Kwakiool-Kwiha, Kawitshin-Kowmook-Tlathool, Tshimsian-Kithatla, Kwakiool-Likwiltoh, Tinne-Takulli-Teheili, Kawitshin-Songis, Thlinkit-Skutkwan, Tshinook-Tshinook, Kawitshin-Kwantlin, Tsheheilis-Staktamish, Kwakiool-Haishilla	100	U+0073 U+0068
ī	iː	kīk, tshīl	Shahaptani-Whulwhaipum, Selish-Lillooet, Selish-Kullespelm, Tinne-Tshilkotin, Thlinkit-Skutkwan, Tinne-Takulli-Teheili, Bilhoola-Noothlakimish, Kwakiool-Likwiltoh, Tshimsian-Kithatla, Tshimsian-Kitunto, Kawitshin-Songis, Tsheheilis-Staktamish, Haida-Kumshewa, Haida-Skidegate, Tshinook-Tilhilooit-UpperTshinook, Tshinook-Tshinook, Haida-Masset, Kootenuha-UpperKootenuha, Kwakiool-Hailtzuk, Tinne-Nakoontloon, Niskwalli-Sinahomish, Aht-Kaiookwaht, Kwakiool-Kwiha, Kawitshin-Kowmook-Tlathool, Kawitshin-Kwantlin, Kwakiool-Haishilla	100	U+012b
^ts	ts	tsuh, tsu-innuh-in-o-kwilla	Tshimsian-Kitunto, Niskwalli-Sinahomish, Tinne-Takulli-Teheili, Aht-Kaiookwaht, Tinne-Tshilkotin, Tshimsian-Kithatla, Kwakiool-Hailtzuk, Tinne-Nakoontloon, Kwakiool-Kwiha, Haida-Kumshewa, Kawitshin-Kwantlin, Kwakiool-Haishilla, Haida-Skidegate, Thlinkit-Skutkwan, Kwakiool-Likwiltoh, Kawitshin-Songis, Selish-Lillooet, Selish-Kullespelm, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Bilhoola-Noothlakimish, Tshinook-Tshinook, Haida-Masset	100	U+005e U+0074 U+0073
´	NULL	koh´-kin´-tshist, smoo´-tleth-kin-koo-za	Selish-Lillooet, Selish-Kullespelm, Niskwalli-Sinahomish, Kootenuha-UpperKootenuha, Kawitshin-Songis, Haida-Kumshewa, Tshimsian-Kitunto, Kwakiool-Kwiha, Kwakiool-Hailtzuk, Tshimsian-Kithatla, Aht-Kaiookwaht	100	U+00b4
s$	s	nis-tallis, yus	Kawitshin-Kwantlin, Kawitshin-Songis, Tshinook-Tshinook, Shahaptani-Whulwhaipum, Niskwalli-Sinahomish, Kawitshin-Snanaimooh, Tsheheilis-Staktamish, Tinne-Tshilkotin, Tinne-Nakoontloon, Aht-Kaiookwaht, Tshimsian-Kithatla, Tinne-Takulli-Teheili, Kwakiool-Likwiltoh, Kawitshin-Kowmook-Tlathool, Selish-Kullespelm, Tshimsian-Kitunto, Kwakiool-Hailtzuk, Haida-Kaigani, Thlinkit-Skutkwan, Bilhoola-Noothlakimish, Tshinook-Tilhilooit-UpperTshinook, Selish-Lillooet, Haida-Kumshewa, Kootenuha-UpperKootenuha	100	U+0073 U+0024
ts	ts	kluts-i-kluk-ats-im, shts-hits-mauhts	Selish-Kullespelm, Tinne-Nakoontloon, Tshinook-Tilhilooit-UpperTshinook, Aht-Kaiookwaht, Kootenuha-UpperKootenuha, Bilhoola-Noothlakimish, Kawitshin-Kowmook-Tlathool, Tinne-Takulli-Teheili, Tshimsian-Kitunto, Tinne-Tshilkotin, Niskwalli-Sinahomish, Tsheheilis-Staktamish, Tshimsian-Kithatla, Kawitshin-Kwantlin, Kwakiool-Haishilla, Kwakiool-Hailtzuk, Kwakiool-Likwiltoh, Kawitshin-Songis, Kawitshin-Snanaimooh, Haida-Kaigani, Haida-Skidegate, Thlinkit-Skutkwan, Tshinook-Tshinook, Selish-Lillooet, Kwakiool-Kwiha, Haida-Kumshewa	100	U+0074 U+0073
^a	a	a-poo-kwunse, al-lun	Kootenuha-UpperKootenuha, Tshinook-Tilhilooit-UpperTshinook, Shahaptani-Whulwhaipum, Tinne-Nakoontloon, Bilhoola-Noothlakimish, Tinne-Tshilkotin, Niskwalli-Sinahomish, Kwakiool-Haishilla, Kawitshin-Songis, Kwakiool-Likwiltoh, Aht-Kaiookwaht, Tinne-Takulli-Teheili, Kawitshin-Kowmook-Tlathool, Haida-Kaigani, Selish-Lillooet, Haida-Masset	100	U+005e U+0061
^i	i	insua-nis-kum-ealh, insua-nimān	Selish-Kullespelm, Tshinook-Tilhilooit-UpperTshinook, Kawitshin-Kwantlin, Aht-Kaiookwaht, Haida-Kaigani, Bilhoola-Noothlakimish, Tsheheilis-Staktamish, Kawitshin-Songis, Selish-Lillooet, Tshimsian-Kithatla, Tinne-Tshilkotin, Shahaptani-Whulwhaipum, Niskwalli-Sinahomish, Haida-Kumshewa, Tshimsian-Kitunto, Tinne-Takulli-Teheili, Haida-Skidegate, Tinne-Nakoontloon, Kootenuha-UpperKootenuha, Kwakiool-Haishilla	100	U+005e U+0069
