Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
-	+	til-koolh-im-un-nah, χa-da-hit-zoo	Haida-Kaigani, Tshimsian-Kitunto, Tshimsian-Kithatla, Haida-Masset, Haida-Kumshewa, Kootenuha-UpperKootenuha, Kawitshin-Songis, Kwakiool-Hailtzuk, Bilhoola-Noothlakimish, Tshinook-Tshinook, Aht-Kaiookwaht, Kwakiool-Likwiltoh, Selish-Lillooet, Kwakiool-Kwiha, Selish-Kullespelm, Kawitshin-Kwantlin, Tinne-Tshilkotin, Haida-Skidegate, Thlinkit-Skutkwan, Tinne-Nakoontloon, Tshinook-Tilhilooit-UpperTshinook, Kwakiool-Haishilla, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Niskwalli-Sinahomish, Tsheheilis-Staktamish, Tinne-Takulli-Teheili	100	U+002d
i	i	kush-aoomp-kins, swe-wil-is-sonil	Bilhoola-Noothlakimish, Kawitshin-Songis, Tshimsian-Kitunto, Kawitshin-Kwantlin, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Tshinook-Tshinook, Tshimsian-Kithatla, Tinne-Nakoontloon, Kwakiool-Likwiltoh, Tsheheilis-Staktamish, Kwakiool-Kwiha, Haida-Kumshewa, Selish-Kullespelm, Kwakiool-Hailtzuk, Niskwalli-Sinahomish, Aht-Kaiookwaht, Tshinook-Tilhilooit-UpperTshinook, Tinne-Tshilkotin, Haida-Kaigani, Selish-Lillooet, Kawitshin-Kowmook-Tlathool, Kootenuha-UpperKootenuha, Haida-Skidegate, Haida-Masset, Tinne-Takulli-Teheili	100	U+0069
a	a	na-toot-ash, kush-aoomp-kins	Kwakiool-Hailtzuk, Tshinook-Tilhilooit-UpperTshinook, Kawitshin-Kwantlin, Kawitshin-Songis, Kawitshin-Snanaimooh, Shahaptani-Whulwhaipum, Haida-Masset, Kwakiool-Kwiha, Selish-Lillooet, Kwakiool-Likwiltoh, Kootenuha-UpperKootenuha, Niskwalli-Sinahomish, Haida-Kumshewa, Tshimsian-Kitunto, Tinne-Tshilkotin, Haida-Kaigani, Tinne-Nakoontloon, Tshinook-Tshinook, Tsheheilis-Staktamish, Kawitshin-Kowmook-Tlathool, Tshimsian-Kithatla, Haida-Skidegate, Thlinkit-Skutkwan, Bilhoola-Noothlakimish, Aht-Kaiookwaht, Kwakiool-Haishilla	100	U+0061
u	u	kun-num, hun-apumpi	Kwakiool-Kwiha, Kwakiool-Hailtzuk, Kwakiool-Likwiltoh, Kwakiool-Haishilla, Haida-Kaigani, Tshimsian-Kithatla, Kawitshin-Kwantlin, Tinne-Nakoontloon, Tshinook-Tilhilooit-UpperTshinook, Tshimsian-Kitunto, Selish-Kullespelm, Kootenuha-UpperKootenuha, Thlinkit-Skutkwan, Aht-Kaiookwaht, Kawitshin-Songis, Shahaptani-Whulwhaipum, Haida-Kumshewa, Kawitshin-Kowmook-Tlathool, Tinne-Tshilkotin, Niskwalli-Sinahomish, Tshinook-Tshinook, Selish-Lillooet, Haida-Masset	100	U+0075
l	l	na-ilth-lash, kl-ku-am-ilk	Kwakiool-Likwiltoh, Kawitshin-Kowmook-Tlathool, Tshimsian-Kithatla, Selish-Kullespelm, Tshimsian-Kitunto, Kawitshin-Snanaimooh, Bilhoola-Noothlakimish, Kootenuha-UpperKootenuha, Kawitshin-Kwantlin, Kawitshin-Songis, Shahaptani-Whulwhaipum, Tshinook-Tshinook, Aht-Kaiookwaht, Selish-Lillooet, Haida-Kaigani, Thlinkit-Skutkwan, Niskwalli-Sinahomish, Tinne-Tshilkotin, Kwakiool-Hailtzuk, Tinne-Nakoontloon, Tshinook-Tilhilooit-UpperTshinook, Tsheheilis-Staktamish, Haida-Masset, Kwakiool-Kwiha, Haida-Kumshewa, Kwakiool-Haishilla, Haida-Skidegate, Tinne-Takulli-Teheili	100	U+006c
t	t	na-toot-ash, ka-tit´-too	Kootenuha-UpperKootenuha, Haida-Kaigani, Selish-Lillooet, Selish-Kullespelm, Shahaptani-Whulwhaipum, Bilhoola-Noothlakimish, Kawitshin-Songis, Thlinkit-Skutkwan, Tsheheilis-Staktamish, Haida-Masset, Tshinook-Tshinook, Kawitshin-Kwantlin, Kwakiool-Likwiltoh, Haida-Kumshewa, Tshimsian-Kitunto, Kawitshin-Snanaimooh, Tinne-Tshilkotin, Tinne-Nakoontloon, Niskwalli-Sinahomish, Aht-Kaiookwaht, Kwakiool-Hailtzuk, Tshinook-Tilhilooit-UpperTshinook, Kawitshin-Kowmook-Tlathool	100	U+0074
k	k	smoo´-tleth-kin-koo-za, kush-aoomp-kins	Selish-Lillooet, Tshinook-Tilhilooit-UpperTshinook, Kwakiool-Hailtzuk, Kwakiool-Kwiha, Kawitshin-Kwantlin, Kootenuha-UpperKootenuha, Haida-Kaigani, Thlinkit-Skutkwan, Tshinook-Tshinook, Tshimsian-Kitunto, Tinne-Takulli-Teheili, Tinne-Tshilkotin, Tinne-Nakoontloon, Niskwalli-Sinahomish, Kwakiool-Likwiltoh, Tshimsian-Kithatla, Kwakiool-Haishilla, Kawitshin-Songis, Kawitshin-Snanaimooh, Haida-Kumshewa, Kawitshin-Kowmook-Tlathool, Selish-Kullespelm, Bilhoola-Noothlakimish, Aht-Kaiookwaht, Tsheheilis-Staktamish	100	U+006b
n	n	hun-whun-ookwi, kin-a-num	Kawitshin-Kwantlin, Kwakiool-Likwiltoh, Bilhoola-Noothlakimish, Kootenuha-UpperKootenuha, Kwakiool-Hailtzuk, Haida-Kaigani, Tshinook-Tilhilooit-UpperTshinook, Kwakiool-Kwiha, Selish-Kullespelm, Kawitshin-Songis, Shahaptani-Whulwhaipum, Tinne-Nakoontloon, Niskwalli-Sinahomish, Tsheheilis-Staktamish, Haida-Kumshewa, Kwakiool-Haishilla, Kawitshin-Snanaimooh, Aht-Kaiookwaht, Kawitshin-Kowmook-Tlathool, Tshimsian-Kithatla, Tinne-Tshilkotin, Haida-Skidegate, Thlinkit-Skutkwan, Tshinook-Tshinook, Haida-Masset, Tshimsian-Kitunto, Tinne-Takulli-Teheili	100	U+006e
